iter	Passed	Remaining
398	135810	34378
399	136170	34042
400	136562	33714
401	136884	33369
402	137229	33030
403	137587	32694
404	137856	32336
405	138193	31995
406	138542	31657
407	138909	31322
408	139283	30989
409	139629	30650
410	139976	30311
411	140328	29973
412	140677	29634
413	141043	29298
414	141414	28964
415	141710	28614
416	142033	28270
417	142372	27929
418	142737	27593
419	143077	27252
420	143443	26917
421	143458	26516
422	143769	26170
423	144089	25827
424	144426	25487
425	144753	25145
426	145066	24800
427	145435	24465
428	145725	24117
429	146016	23770
430	146357	23430
431	146694	23090
432	146979	22742
433	147271	22396
434	147597	22054
435	147862	21704
436	147878	21318
437	147892	20934
438	148242	20598
439	148586	20261
440	148932	19925
441	149294	19590
442	149649	19255
443	149949	18912
444	150250	18570
445	150578	18231
446	150933	17895
447	151285	17559
448	151627	17222
449	151972	16885
450	152314	16548
451	152635	16209
452	152922	15866
453	153238	15526
454	153557	15186
455	153894	14849
456	154243	14513
457	154584	14175
458	154934	13839
459	155284	13503
460	155602	13163
461	155942	12826
462	156283	12489
463	156629	12152
464	157029	11819
465	157421	11485
466	157811	11151
467	158167	10814
468	158558	10480
469	158867	10140
470	159215	9803
471	159571	9466
472	159867	9125
473	160209	8787
474	160521	8448
475	160843	8109
476	161113	7768
477	161415	7429
478	161732	7090
479	162064	6752
480	162407	6415
481	162750	6077
482	163095	5740
483	163442	5403
484	163760	5064
485	164054	4725
486	164360	4387
487	164650	4048
488	165041	3712
489	165401	3375
490	165769	3038
491	166126	2701
492	166486	2363
493	166795	2025
494	167095	1687
495	167413	1350
496	167723	1012
497	168017	674
498	168283	337
499	168555	0
